Death has arrived to: W&B EnterpriseDeath has arrived to: W&B Enterprisedeaths: 0Death has arrived to: W&B Enterprisedeaths: 1function toISOString() { [native code] } [INFO] Death has arrived to: W&B Enterprisedeaths: 0
2022-02-02T10:49:13.146Z [INFO] Death has arrived to: W&B Enterprisedeaths: 0
2022-02-02T10:51:31.145Z [INFO] Death has arrived to: W&B Enterprise Deaths: 0 
2022-02-02T11:13:19.353Z [INFO] Death has arrived to: W&B Enterprise Deaths: 0 
2022-02-02T12:08:33.687Z [INFO] Death has arrived to: W&B Enterprise Deaths: 0 
2022-02-02T12:10:36.628Z [INFO] Death has arrived to: W&B Enterprise Deaths: 0 
2022-02-02T12:16:05.524Z [INFO] Death has arrived to: W&B Enterprise Deaths: 0 
2022-02-02T12:16:29.303Z [INFO] Death has arrived to: W&B Enterprise Deaths: 0 
2022-02-02T12:21:51.206Z [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 0, Voice Channels: 0, Total: 0 
2022-02-02T12:22:22.040Z [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 1, Voice Channels: 2, Total: 3 
2022-02-02T13:31:41.598Z [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 0, Voice Channels: 0, Total: 0 
2022-02-02T13:39:16.348Z [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 0, Voice Channels: 0, Total: 0 
2022-02-02T13:39:38.725Z [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 0, Voice Channels: 0, Total: 0 
2022-02-02T13:39:57.438Z [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 0, Voice Channels: 0, Total: 0 
2022-02-02T13:40:33.867Z [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 0, Voice Channels: 0, Total: 0 
2022-02-02T13:55:54.768Z [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 1, Voice Channels: 0, Total: 1 
2022-02-02T14:09:37.143Z [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 0, Voice Channels: 0, Total: 0 
2022-02-02T14:10:59.549Z [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 0, Voice Channels: 0, Total: 0 
2022-02-02T14:11:44.891Z [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 0, Voice Channels: 0, Total: 0 
[2022-02-02T14:12:53.741Z] [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 0, Voice Channels: 0, Total: 0 
[2022-02-02T14:19:41.352Z] [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 0, Voice Channels: 0, Total: 0 
[2022-02-02T14:20:17.832Z] [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 0, Voice Channels: 0, Total: 0 
[2022-02-02T14:21:38.879Z] [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 0, Voice Channels: 0, Total: 0 
[2022-02-02T14:24:19.722Z] [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 0, Voice Channels: 0, Total: 0 
[2022-02-02T14:24:53.397Z] [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 0, Voice Channels: 0, Total: 0 
[2022-02-02T14:26:36.037Z] [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 0, Voice Channels: 0, Total: 0 
[2022-02-02T14:26:54.810Z] [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 0, Voice Channels: 0, Total: 0 
[2022-02-02T14:28:01.478Z] [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 0, Voice Channels: 0, Total: 0 
[2022-02-02T14:28:44.332Z] [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 0, Voice Channels: 0, Total: 0 
[2022-02-02T14:30:31.788Z] [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 0, Voice Channels: 0, Total: 0 
[2022-02-02T14:31:33.592Z] [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 0, Voice Channels: 0, Total: 0 
[2022-02-02T14:31:39.652Z] [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 0, Voice Channels: 0, Total: 0 
[2022-02-02T14:34:33.743Z] [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 0, Voice Channels: 0, Total: 0 
[2022-02-02T14:35:15.468Z] [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 0, Voice Channels: 0, Total: 0 
[2022-02-02T14:35:53.622Z] [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 0, Voice Channels: 0, Total: 0 
[2022-02-02T14:36:02.478Z] [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 0, Voice Channels: 0, Total: 0 
[2022-02-02T14:36:29.056Z] [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 0, Voice Channels: 0, Total: 0 
[2022-02-02T14:36:42.081Z] [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 0, Voice Channels: 0, Total: 0 
[2022-02-02T14:37:30.901Z] [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 0, Voice Channels: 0, Total: 0 
[2022-02-02T14:47:43.000Z] [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 0, Voice Channels: 0, Total: 0 
[2022-02-02T14:48:55.433Z] [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 0, Voice Channels: 0, Total: 0 
[2022-02-02T14:50:54.772Z] [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 0, Voice Channels: 0, Total: 0 
[2022-02-02T14:55:56.369Z] [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 0, Voice Channels: 0, Total: 0 
[2022-02-02T14:56:13.458Z] [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 0, Voice Channels: 0, Total: 0 
[2022-02-02T14:56:28.937Z] [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 0, Voice Channels: 0, Total: 0 
[2022-02-02T14:56:39.901Z] [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 0, Voice Channels: 0, Total: 0 
[2022-02-02T14:56:59.774Z] [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 0, Voice Channels: 0, Total: 0 
[2022-02-02T14:57:10.364Z] [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 0, Voice Channels: 0, Total: 0 
[2022-02-02T14:57:27.167Z] [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 0, Voice Channels: 0, Total: 0 
[2022-02-02T14:58:03.204Z] [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 0, Voice Channels: 0, Total: 0 
[2022-02-02T14:58:46.768Z] [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 0, Voice Channels: 0, Total: 0 
[2022-02-02T14:58:56.337Z] [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 0, Voice Channels: 0, Total: 0 
[2022-02-02T15:00:18.217Z] [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 0, Voice Channels: 0, Total: 0 
[2022-02-02T15:00:29.757Z] [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 0, Voice Channels: 0, Total: 0 
[2022-02-02T15:00:54.302Z] [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 0, Voice Channels: 0, Total: 0 
[2022-02-02T15:01:11.405Z] [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 0, Voice Channels: 0, Total: 0 
[2022-02-02T15:01:29.983Z] [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 0, Voice Channels: 0, Total: 0 
[2022-02-02T15:01:45.709Z] [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 0, Voice Channels: 0, Total: 0 
[2022-02-02T15:02:24.062Z] [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 0, Voice Channels: 0, Total: 0 
[2022-02-02T15:03:27.082Z] [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 0, Voice Channels: 0, Total: 0 
[2022-02-02T15:03:37.363Z] [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 0, Voice Channels: 0, Total: 0 
[2022-02-02T15:03:47.305Z] [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 0, Voice Channels: 0, Total: 0 
[2022-02-02T15:03:57.495Z] [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 0, Voice Channels: 0, Total: 0 
[2022-02-02T15:04:07.790Z] [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 0, Voice Channels: 0, Total: 0 
[2022-02-02T15:04:14.631Z] [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 0, Voice Channels: 0, Total: 0 
[2022-02-02T15:06:07.527Z] [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 0, Voice Channels: 0, Total: 0 
[2022-02-02T15:07:30.257Z] [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 0, Voice Channels: 0, Total: 0 
[2022-02-02T15:07:47.545Z] [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 0, Voice Channels: 0, Total: 0 
[2022-02-02T15:08:03.915Z] [INFO] Death has arrived to: W&B Enterprise Deaths: 0, Text Channels: 0, Voice Channels: 0, Total: 0 
